relative_path,filename,extension,size,SHA256,category,paper_section,experiment_stage,platform,representation_source_platform,execution_platform,authoritative_source,status,story_relevance,public_required,naming_valid,content_valid,action
CITATION.cff,CITATION.cff,.cff,502,8a4de84e8b34ee3baccd402c3794a49efa80c6aee640c757dfb2a22e09959a12,UNKNOWN,methods/results,mixed,,in-file where applicable,,v1.0 public package / V3.3 support,VALID,PRIMARY,True,True,True,ADDED_OR_RETAINED
code/experiments/m55m3d_hbm_position_heterogeneity.py,m55m3d_hbm_position_heterogeneity.py,.py,23885,13352bc67032055e025b9b878750a9aa9e7dca8cb6a190447a763fe637c1da55,CODE,methods/results,mixed,,in-file where applicable,,v1.0 public package / V3.3 support,VALID,PRIMARY,True,True,True,ADDED_OR_RETAINED
code/experiments/m55m3f_cross_technology_transfer.py,m55m3f_cross_technology_transfer.py,.py,21247,0670046c0d272cb32f91664034885a8327ac5c15eb713d5820f57ad25ee97d78,CODE,methods/results,mixed,,in-file where applicable,,v1.0 public package / V3.3 support,VALID,PRIMARY,True,True,True,ADDED_OR_RETAINED
code/experiments/m55m3g_cross_technology_robust.py,m55m3g_cross_technology_robust.py,.py,37566,a75d5f9aeca80c66ed2d26f566049a13e1a92b50a73d1b19d804f1c90eec87bf,CODE,methods/results,mixed,,in-file where applicable,,v1.0 public package / V3.3 support,VALID,PRIMARY,True,True,True,ADDED_OR_RETAINED
code/experiments/m55n3b1c_deep_confirmation.py,m55n3b1c_deep_confirmation.py,.py,20269,5748493fe3d021e5f8012f2a68b74c03bc21cd6b6c2518db8b1803c48746e27a,CODE,methods/results,mixed,,in-file where applicable,,v1.0 public package / V3.3 support,VALID,PRIMARY,True,True,True,ADDED_OR_RETAINED
code/experiments/p1e_multiconfig_generality.py,p1e_multiconfig_generality.py,.py,30266,cd6a48684214a8e3b453f3b8f32e7123fe9e689a265d96511aa9956b7ff18c61,CODE,methods/results,mixed,,in-file where applicable,,v1.0 public package / V3.3 support,VALID,PRIMARY,True,True,True,ADDED_OR_RETAINED
code/experiments/p5b0_cal_eval_split_sensitivity.py,p5b0_cal_eval_split_sensitivity.py,.py,24171,12f1a8fd87604cfc6dfefdd896b38f062bf13813c8fe8b5e28cd6a04e7dc551c,CODE,methods/results,mixed,,in-file where applicable,,v1.0 public package / V3.3 support,VALID,PRIMARY,True,True,True,ADDED_OR_RETAINED
code/experiments/p6b2_corrected_binary_worker.py,p6b2_corrected_binary_worker.py,.py,35858,c1d8ee66378bf1c55839b0a44b1e9b49dcd514efe4adaf8f09b42fd795768578,CODE,methods/results,mixed,,in-file where applicable,,v1.0 public package / V3.3 support,VALID,PRIMARY,True,True,True,ADDED_OR_RETAINED
code/experiments/p7a_r1_qwen3_32b_real_kv.py,p7a_r1_qwen3_32b_real_kv.py,.py,25102,8aedae7f6c649fe65f1d1524c97c3930dbb1b0bbf412875b00e3940a5f15f61c,CODE,methods/results,mixed,,in-file where applicable,,v1.0 public package / V3.3 support,VALID,PRIMARY,True,True,True,ADDED_OR_RETAINED
code/experiments/p7b_r2_exact_baselines.py,p7b_r2_exact_baselines.py,.py,20888,fb88f386ed9fa862870d4b777cac059eba7f5ba2fa27810cac29dc90c0d45b8c,CODE,methods/results,mixed,,in-file where applicable,,v1.0 public package / V3.3 support,VALID,PRIMARY,True,True,True,ADDED_OR_RETAINED
code/experiments/p7c_qwen3_32b_full_cache_worker.py,p7c_qwen3_32b_full_cache_worker.py,.py,21577,fcab1551e0a30a6c0566eb010a5b2c4561a6a592033c7fd7c8871cfec3866f96,CODE,methods/results,mixed,,in-file where applicable,,v1.0 public package / V3.3 support,VALID,PRIMARY,True,True,True,ADDED_OR_RETAINED
code/experiments/p7d1_qwen3_32b_fault_worker.py,p7d1_qwen3_32b_fault_worker.py,.py,27844,2891f2e6057a60fe2f481ecbbb9b0d85844116d102be1ea61bb31faa50a6dd7e,CODE,methods/results,mixed,,in-file where applicable,,v1.0 public package / V3.3 support,VALID,PRIMARY,True,True,True,ADDED_OR_RETAINED
code/fault_screen.py,fault_screen.py,.py,601,2eed67ac60833ea423afb686324034037070cb23109d34732c7065adb47b2b6e,CODE,methods/results,mixed,,in-file where applicable,,v1.0 public package / V3.3 support,VALID,PRIMARY,True,True,True,ADDED_OR_RETAINED
code/mapping.py,mapping.py,.py,621,f05769b898cbd7994a3f010b10e4d9a9b24a579e7338e65d4485fcd10ded6916,CODE,methods/results,mixed,,in-file where applicable,,v1.0 public package / V3.3 support,VALID,PRIMARY,True,True,True,ADDED_OR_RETAINED
code/metakv_codec.py,metakv_codec.py,.py,2225,937495f881c9912b8b63c2c81f10371f4c3d549090d50a87df510e919b7faff3,CODE,methods/results,mixed,,in-file where applicable,,v1.0 public package / V3.3 support,VALID,PRIMARY,True,True,True,ADDED_OR_RETAINED
code/weighting.py,weighting.py,.py,531,29318278e6a660459689ab9d11ec04c55092a8c3c64044d70abb27e15fbe93de,CODE,methods/results,mixed,,in-file where applicable,,v1.0 public package / V3.3 support,VALID,PRIMARY,True,True,True,ADDED_OR_RETAINED
configs/reference_config.json,reference_config.json,.json,701,966a3b107a776cd849118ad35edef8c9b9431a620130292f38cb7663a4f03135,CONFIG,methods/results,mixed,,in-file where applicable,,v1.0 public package / V3.3 support,VALID,PRIMARY,True,True,True,ADDED_OR_RETAINED
LICENSE,LICENSE,,1066,c59364637ce5b8d05c56b91e7b97ed667e010227327e2f92c0cb9e7d9fd36790,UNKNOWN,methods/results,mixed,,in-file where applicable,,v1.0 public package / V3.3 support,VALID,PRIMARY,True,True,True,ADDED_OR_RETAINED
provenance/PUBLIC_PROVENANCE.md,PUBLIC_PROVENANCE.md,.md,682,49817b0977150930842b19e3f8007144f55cd5574a69cd177c89f8568de353bd,PROVENANCE,methods/results,mixed,,in-file where applicable,,v1.0 public package / V3.3 support,VALID,PRIMARY,True,True,True,ADDED_OR_RETAINED
provenance/VERSION_UPDATE.md,VERSION_UPDATE.md,.md,431,d82a8b1289b7ffe2ac7b142a09ec0747adadf0f90316ce900436dc0f9a16877a,PROVENANCE,methods/results,mixed,,in-file where applicable,,v1.0 public package / V3.3 support,VALID,PRIMARY,True,True,True,ADDED_OR_RETAINED
README.md,README.md,.md,3792,9d7be8cd5ead86785b82f545bca4429f278ecfe422fbf2cd20b70271c01b8dfe,README,methods/results,mixed,,in-file where applicable,,v1.0 public package / V3.3 support,VALID,PRIMARY,True,True,True,ADDED_OR_RETAINED
reproducibility/quick_validate.py,quick_validate.py,.py,2289,9df5178d2d3b9a8a938f31460dbed7321f9ab8ba58349cd994743f5f5085f797,CODE,methods/results,mixed,,in-file where applicable,,v1.0 public package / V3.3 support,VALID,PRIMARY,True,True,True,ADDED_OR_RETAINED
reproducibility/quick_validation_expected.json,quick_validation_expected.json,.json,758,d34a241b5aa21717b82ce36398336264df7ea763fc9678f2c3e686fd3e28931e,SUMMARY,methods/results,mixed,,in-file where applicable,,v1.0 public package / V3.3 support,VALID,PRIMARY,True,True,True,ADDED_OR_RETAINED
reproducibility/REPRODUCE.md,REPRODUCE.md,.md,1199,56444625e03eb0f7e68297bd96323ff59878a406e87df6b1ff1ba46f1af854e6,DOC,methods/results,mixed,,in-file where applicable,,v1.0 public package / V3.3 support,VALID,PRIMARY,True,True,True,ADDED_OR_RETAINED
reproducibility/verify_public_results.py,verify_public_results.py,.py,1166,082e1de53b6ebeaffae5136e0a485d1c93d946dc7ebfb65de60207529310446e,CODE,methods/results,mixed,,in-file where applicable,,v1.0 public package / V3.3 support,VALID,PRIMARY,True,True,True,ADDED_OR_RETAINED
results/core/fig2_fault_geometry.csv,fig2_fault_geometry.csv,.csv,682,b386e93f034c53cd71e773d4be867eef4b091fe17df73cda786f291aa7cfc379,SUMMARY,methods/results,mixed,,in-file where applicable,,v1.0 public package / V3.3 support,VALID,PRIMARY,True,True,True,ADDED_OR_RETAINED
results/core/fig3_mapping_evidence.csv,fig3_mapping_evidence.csv,.csv,1085,caa14f7e26ff306ca41d0badb4243e176c219479fa403690be8f755178e20072,SUMMARY,methods/results,mixed,,in-file where applicable,,v1.0 public package / V3.3 support,VALID,PRIMARY,True,True,True,ADDED_OR_RETAINED
results/core/fig4_deployment.csv,fig4_deployment.csv,.csv,3390,2735596e50978a12f523778b1b2fac69b547f4aade5048ace8c889cc7f19b62e,SUMMARY,deployment,P1/P2,,in-file where applicable,,deployment_final_archive,VALID,PRIMARY,True,True,True,ADDED_OR_RETAINED
results/core/fig5_model_scaleup.csv,fig5_model_scaleup.csv,.csv,1208,53279821e5211e1282a2a3090c949c2047de0d61af6bf6946fadc4cc1cbf8aa2,SUMMARY,methods/results,mixed,,in-file where applicable,,v1.0 public package / V3.3 support,VALID,PRIMARY,True,True,True,ADDED_OR_RETAINED
results/core/fig6_full_cache_semantics.csv,fig6_full_cache_semantics.csv,.csv,1507,76e751609702015eee7e49c9fbe1f31b2ae094a414635c5b9f555e8f076930a1,SUMMARY,methods/results,mixed,,in-file where applicable,,v1.0 public package / V3.3 support,VALID,PRIMARY,True,True,True,ADDED_OR_RETAINED
results/core/metakv_main_tables_v3.md,metakv_main_tables_v3.md,.md,4652,85b59c7d93c6eb2e9a50776c5ca8267dcc284a9adc2eaff0e3acc447856f3246,DOC,methods/results,mixed,,in-file where applicable,,v1.0 public package / V3.3 support,VALID,PRIMARY,True,True,True,ADDED_OR_RETAINED
results/core/paper_master_numbers_p10c.csv,paper_master_numbers_p10c.csv,.csv,15915,96c9dd6e0d5c39a40a5553dbef050959c00053429f92d9455c0bd6eea8ea90bf,SUMMARY,methods/results,mixed,,in-file where applicable,,v1.0 public package / V3.3 support,VALID,PRIMARY,True,True,True,ADDED_OR_RETAINED
