kernel,artifact_dir,amdgcn_bytes,hsaco_bytes,ttir_bytes,ttgir_bytes,llir_bytes,instruction_count,valu_count,salu_count,memory_instruction_count,vgpr,sgpr,private_segment_bytes,group_segment_bytes,v_bfe,v_bfi,v_perm,v_and,v_or,v_xor,v_lshr,v_lshl,v_ashr,s_and,s_or,s_xor,s_lshr,s_lshl,global_load,global_store,buffer_load,buffer_store,flat_load,flat_store,scratch_load,scratch_store,ds_read,ds_write,v_exp,v_log,waitcnt,barrier
FP32,45QPKIVBTJ5UE3IHPYPVQGS2LUXHZZZPZNENRL4RYQSRARUOE4CA,9828,6072,7538,6986,6812,50,23,24,3,6,13,0,0,0,0,0,3,2,0,1,2,2,3,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,3,0
IDENTITY,55YDQVTC264JA7BNZMRJKDNFCYSXJ5TRJCRZYUFNJ2JTRG2FXEFQ,17571,6896,14456,14350,9669,84,55,26,3,11,20,0,0,0,0,0,8,2,0,6,2,2,3,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,3,0
IDENTITY,6CL2CMBWH34NM4A3FIC4DVR7RKIVDFQI2QXHKOE7HREJLJMA2FGA,17116,6776,14536,14440,9662,83,55,25,3,11,20,0,0,0,0,0,8,2,0,6,2,2,3,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,3,0
IDENTITY,A3IA6H75M3373JEWGD72OKLOYDQTDUDZOFIL7COOESMSOUGUNOAA,17120,6776,14534,14438,9666,83,55,25,3,11,20,0,0,0,0,0,8,2,0,6,2,2,3,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,3,0
FP32,BPS2EBTGGVXEXWILHK5QVW4RLJXZK77AZMLA2PPCIZBM5SXIGLQQ,9828,6072,7539,6987,6813,50,23,24,3,6,13,0,0,0,0,0,3,2,0,1,2,2,3,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,3,0
MAPPED,JJ6X6CYMHYB67JAUAMVSKUZNP3EPCS2U2N4YZ352CUPECOKV6UFA,19253,6976,23513,23842,11570,105,77,25,3,18,20,0,0,0,0,0,17,2,0,13,3,2,3,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,3,0
MAPPED,JQKMPYKNUCMC4ZRDXHWS7DOO7SNWS2SYGMQDS63MOIOLJ62OWSQQ,20050,7080,26516,26982,12184,111,83,25,3,21,20,0,0,0,0,0,20,2,0,12,5,2,3,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,3,0
MAPPED,KJINQPTDLQ62VRDN75WO7JOJRHVRH42OAPH6R6OBXEAZGS3FJ54Q,18558,6912,19548,19695,10742,95,67,25,3,13,20,0,0,0,0,0,13,2,0,11,2,2,3,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,3,0
IDENTITY,KWFGUYZZAZ5VQRNKJ6NDE5KRJHQ3I2RVCJ62G5APGHHZBXF5NB5Q,17120,6776,14535,14439,9667,83,55,25,3,11,20,0,0,0,0,0,8,2,0,6,2,2,3,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,3,0
MAPPED,OKJBS3QS2DE2SRM2NDX7776CDNY5P4J7ZHDWXYI2TEW3NNBX5XAA,20050,7080,26517,26983,12185,111,83,25,3,21,20,0,0,0,0,0,20,2,0,12,5,2,3,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,3,0
IDENTITY,OSGZAMU76NDA5Z63GQMWBI2NYYAWFXYIU2HKJTZ3U2RUZKJECVQQ,17118,6776,14535,14439,9664,83,55,25,3,11,20,0,0,0,0,0,8,2,0,6,2,2,3,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,3,0
MAPPED,Q2YQ5JI7I4OOK2PPHMOPQTFFKBJTCXTBTCHFIPFSTGNHHWNCM6QA,20086,7080,31580,32289,12726,116,88,25,3,25,20,0,0,0,0,0,23,2,0,12,5,2,3,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,3,0
IDENTITY,Q46XGFP2SOHKBT47LEZB3JQYOSKG6SX2HZJGI4WL7N3D37JFWFZQ,17116,6776,14535,14439,9661,83,55,25,3,11,20,0,0,0,0,0,8,2,0,6,2,2,3,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,3,0
IDENTITY,U7PBE72TBLOB4KJ5GBCLL6XKOCXXEXH5YZZZACMFOP772FMUXQWQ,17571,6896,14455,14349,9668,84,55,26,3,11,20,0,0,0,0,0,8,2,0,6,2,2,3,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,3,0
MAPPED,UWJXD6RCJEERM7OSWR6KDWM5NCO73B44GFTX4IJNYTMRIJDUMHWA,19253,6976,23512,23841,11569,105,77,25,3,18,20,0,0,0,0,0,17,2,0,13,3,2,3,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,3,0
MAPPED,WHZRM46CYJCPAVNR7GCRJEBQDXFEQMA5X6XVIKJKFEYWFMIHAHAA,20086,7080,31581,32290,12727,116,88,25,3,25,20,0,0,0,0,0,23,2,0,12,5,2,3,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,3,0
