pass,kind,kernel,counter,value,file
A,IDENTITY,kernel_identity,SQ_INSTS,165675008.0,${WORKSPACE}/metakv_amd_attribution/p2d2_dynamic_profile/p2d2b_r3_passA/pass_1/dsw-2163772-6f44cc5c68-dchzs/4086_counter_collection.csv
A,IDENTITY,kernel_identity,SQ_INSTS_SALU,35651584.0,${WORKSPACE}/metakv_amd_attribution/p2d2_dynamic_profile/p2d2b_r3_passA/pass_1/dsw-2163772-6f44cc5c68-dchzs/4086_counter_collection.csv
A,IDENTITY,kernel_identity,SQ_INSTS_VALU,115343360.0,${WORKSPACE}/metakv_amd_attribution/p2d2_dynamic_profile/p2d2b_r3_passA/pass_1/dsw-2163772-6f44cc5c68-dchzs/4086_counter_collection.csv
A,IDENTITY,kernel_identity,SQ_INSTS_VALU_INT32,23068672.0,${WORKSPACE}/metakv_amd_attribution/p2d2_dynamic_profile/p2d2b_r3_passA/pass_1/dsw-2163772-6f44cc5c68-dchzs/4086_counter_collection.csv
A,MAPPED,kernel_mapped,SQ_INSTS,224395264.0,${WORKSPACE}/metakv_amd_attribution/p2d2_dynamic_profile/p2d2b_r3_passA/pass_1/dsw-2163772-6f44cc5c68-dchzs/4086_counter_collection.csv
A,MAPPED,kernel_mapped,SQ_INSTS_SALU,35651584.0,${WORKSPACE}/metakv_amd_attribution/p2d2_dynamic_profile/p2d2b_r3_passA/pass_1/dsw-2163772-6f44cc5c68-dchzs/4086_counter_collection.csv
A,MAPPED,kernel_mapped,SQ_INSTS_VALU,174063616.0,${WORKSPACE}/metakv_amd_attribution/p2d2_dynamic_profile/p2d2b_r3_passA/pass_1/dsw-2163772-6f44cc5c68-dchzs/4086_counter_collection.csv
A,MAPPED,kernel_mapped,SQ_INSTS_VALU_INT32,29360128.0,${WORKSPACE}/metakv_amd_attribution/p2d2_dynamic_profile/p2d2b_r3_passA/pass_1/dsw-2163772-6f44cc5c68-dchzs/4086_counter_collection.csv
A,IDENTITY,kernel_identity,SQ_INSTS,165675008.0,${WORKSPACE}/metakv_amd_attribution/p2d2_dynamic_profile/p2d2b_r3_passA/pass_1/dsw-2163772-6f44cc5c68-dchzs/4086_counter_collection.csv
A,IDENTITY,kernel_identity,SQ_INSTS_SALU,35651584.0,${WORKSPACE}/metakv_amd_attribution/p2d2_dynamic_profile/p2d2b_r3_passA/pass_1/dsw-2163772-6f44cc5c68-dchzs/4086_counter_collection.csv
A,IDENTITY,kernel_identity,SQ_INSTS_VALU,115343360.0,${WORKSPACE}/metakv_amd_attribution/p2d2_dynamic_profile/p2d2b_r3_passA/pass_1/dsw-2163772-6f44cc5c68-dchzs/4086_counter_collection.csv
A,IDENTITY,kernel_identity,SQ_INSTS_VALU_INT32,23068672.0,${WORKSPACE}/metakv_amd_attribution/p2d2_dynamic_profile/p2d2b_r3_passA/pass_1/dsw-2163772-6f44cc5c68-dchzs/4086_counter_collection.csv
A,MAPPED,kernel_mapped,SQ_INSTS,224395264.0,${WORKSPACE}/metakv_amd_attribution/p2d2_dynamic_profile/p2d2b_r3_passA/pass_1/dsw-2163772-6f44cc5c68-dchzs/4086_counter_collection.csv
A,MAPPED,kernel_mapped,SQ_INSTS_SALU,35651584.0,${WORKSPACE}/metakv_amd_attribution/p2d2_dynamic_profile/p2d2b_r3_passA/pass_1/dsw-2163772-6f44cc5c68-dchzs/4086_counter_collection.csv
A,MAPPED,kernel_mapped,SQ_INSTS_VALU,174063616.0,${WORKSPACE}/metakv_amd_attribution/p2d2_dynamic_profile/p2d2b_r3_passA/pass_1/dsw-2163772-6f44cc5c68-dchzs/4086_counter_collection.csv
A,MAPPED,kernel_mapped,SQ_INSTS_VALU_INT32,29360128.0,${WORKSPACE}/metakv_amd_attribution/p2d2_dynamic_profile/p2d2b_r3_passA/pass_1/dsw-2163772-6f44cc5c68-dchzs/4086_counter_collection.csv
A,IDENTITY,kernel_identity,SQ_INSTS,165675008.0,${WORKSPACE}/metakv_amd_attribution/p2d2_dynamic_profile/p2d2b_r3_passA/pass_1/dsw-2163772-6f44cc5c68-dchzs/4086_counter_collection.csv
A,IDENTITY,kernel_identity,SQ_INSTS_SALU,35651584.0,${WORKSPACE}/metakv_amd_attribution/p2d2_dynamic_profile/p2d2b_r3_passA/pass_1/dsw-2163772-6f44cc5c68-dchzs/4086_counter_collection.csv
A,IDENTITY,kernel_identity,SQ_INSTS_VALU,115343360.0,${WORKSPACE}/metakv_amd_attribution/p2d2_dynamic_profile/p2d2b_r3_passA/pass_1/dsw-2163772-6f44cc5c68-dchzs/4086_counter_collection.csv
A,IDENTITY,kernel_identity,SQ_INSTS_VALU_INT32,23068672.0,${WORKSPACE}/metakv_amd_attribution/p2d2_dynamic_profile/p2d2b_r3_passA/pass_1/dsw-2163772-6f44cc5c68-dchzs/4086_counter_collection.csv
A,MAPPED,kernel_mapped,SQ_INSTS,224395264.0,${WORKSPACE}/metakv_amd_attribution/p2d2_dynamic_profile/p2d2b_r3_passA/pass_1/dsw-2163772-6f44cc5c68-dchzs/4086_counter_collection.csv
