pass,kind,kernel,counter,value,vgpr,sgpr,scratch,grid_size,workgroup_size,file
D1,IDENTITY,kernel_identity,TCC_HIT,4195360.0,12,32,0,134217728,256,${WORKSPACE}/metakv_amd_attribution/p2d2_dynamic_profile/p2d2c_passD1/pass_1/dsw-2163772-6f44cc5c68-dchzs/4556_counter_collection.csv
D1,MAPPED,kernel_mapped,TCC_HIT,4195500.0,24,32,0,134217728,256,${WORKSPACE}/metakv_amd_attribution/p2d2_dynamic_profile/p2d2c_passD1/pass_1/dsw-2163772-6f44cc5c68-dchzs/4556_counter_collection.csv
D1,IDENTITY,kernel_identity,TCC_HIT,4195360.0,12,32,0,134217728,256,${WORKSPACE}/metakv_amd_attribution/p2d2_dynamic_profile/p2d2c_passD1/pass_1/dsw-2163772-6f44cc5c68-dchzs/4556_counter_collection.csv
D1,MAPPED,kernel_mapped,TCC_HIT,4195500.0,24,32,0,134217728,256,${WORKSPACE}/metakv_amd_attribution/p2d2_dynamic_profile/p2d2c_passD1/pass_1/dsw-2163772-6f44cc5c68-dchzs/4556_counter_collection.csv
D1,IDENTITY,kernel_identity,TCC_HIT,4195360.0,12,32,0,134217728,256,${WORKSPACE}/metakv_amd_attribution/p2d2_dynamic_profile/p2d2c_passD1/pass_1/dsw-2163772-6f44cc5c68-dchzs/4556_counter_collection.csv
D1,MAPPED,kernel_mapped,TCC_HIT,4195500.0,24,32,0,134217728,256,${WORKSPACE}/metakv_amd_attribution/p2d2_dynamic_profile/p2d2c_passD1/pass_1/dsw-2163772-6f44cc5c68-dchzs/4556_counter_collection.csv
D1,MAPPED,kernel_mapped,TCC_HIT,4195500.0,24,32,0,134217728,256,${WORKSPACE}/metakv_amd_attribution/p2d2_dynamic_profile/p2d2c_passD1/pass_1/dsw-2163772-6f44cc5c68-dchzs/4556_counter_collection.csv
D1,IDENTITY,kernel_identity,TCC_HIT,4195360.0,12,32,0,134217728,256,${WORKSPACE}/metakv_amd_attribution/p2d2_dynamic_profile/p2d2c_passD1/pass_1/dsw-2163772-6f44cc5c68-dchzs/4556_counter_collection.csv
D2,IDENTITY,kernel_identity,TCC_MISS,5242943.0,12,32,0,134217728,256,${WORKSPACE}/metakv_amd_attribution/p2d2_dynamic_profile/p2d2c_passD2/pass_1/dsw-2163772-6f44cc5c68-dchzs/4620_counter_collection.csv
D2,MAPPED,kernel_mapped,TCC_MISS,5242948.0,24,32,0,134217728,256,${WORKSPACE}/metakv_amd_attribution/p2d2_dynamic_profile/p2d2c_passD2/pass_1/dsw-2163772-6f44cc5c68-dchzs/4620_counter_collection.csv
