outer_fold,method,normalized_risk,gain,test_scenario_count,representation_count,deployable
0,IDENTITY,1.0,0.0,7,8,True
0,ORIGINAL_EMPIRICAL,31.04777847170697,-30.04777847170697,7,8,True
0,SHRINKAGE_ONLY,1.0,0.0,7,8,True
0,ROBUST_ONLY,31.04777847170697,-30.04777847170697,7,8,True
0,JOINT_SELECTED,1.0,0.0,7,8,True
0,RANDOM_MAPPING_MEAN,41.07994344382263,-40.07994344382263,7,8,True
0,ORACLE_TEST_REFERENCE,0.6742843053596277,0.3257156946403723,7,8,False
1,IDENTITY,1.0,0.0,8,8,True
1,ORIGINAL_EMPIRICAL,8.31474160853205,-7.314741608532049,8,8,True
1,SHRINKAGE_ONLY,1.0,0.0,8,8,True
1,ROBUST_ONLY,8.31474160853205,-7.314741608532049,8,8,True
1,JOINT_SELECTED,1.0,0.0,8,8,True
1,RANDOM_MAPPING_MEAN,10.616085743980316,-9.616085743980316,8,8,True
1,ORACLE_TEST_REFERENCE,0.782800562836713,0.21719943716328705,8,8,False
2,IDENTITY,1.0,0.0,6,8,True
2,ORIGINAL_EMPIRICAL,256.8573982635019,-255.85739826350192,6,8,True
2,SHRINKAGE_ONLY,1.0,0.0,6,8,True
2,ROBUST_ONLY,256.8572927777904,-255.8572927777904,6,8,True
2,JOINT_SELECTED,1.0,0.0,6,8,True
2,RANDOM_MAPPING_MEAN,125.60058696896928,-124.60058696896928,6,8,True
2,ORACLE_TEST_REFERENCE,0.630411791090103,0.36958820890989696,6,8,False
3,IDENTITY,1.0,0.0,2,8,True
3,ORIGINAL_EMPIRICAL,0.9674872677212518,0.03251273227874818,2,8,True
3,SHRINKAGE_ONLY,1.0,0.0,2,8,True
3,ROBUST_ONLY,0.9674872677212518,0.03251273227874818,2,8,True
3,JOINT_SELECTED,1.0,0.0,2,8,True
3,RANDOM_MAPPING_MEAN,0.9843931263227063,0.015606873677293742,2,8,True
3,ORACLE_TEST_REFERENCE,0.8944531230803324,0.10554687691966758,2,8,False
4,IDENTITY,1.0,0.0,4,8,True
4,ORIGINAL_EMPIRICAL,0.9586526331831962,0.04134736681680384,4,8,True
4,SHRINKAGE_ONLY,1.0,0.0,4,8,True
4,ROBUST_ONLY,0.9526770892579782,0.04732291074202177,4,8,True
4,JOINT_SELECTED,1.0,0.0,4,8,True
4,RANDOM_MAPPING_MEAN,0.9788453356882191,0.021154664311780924,4,8,True
4,ORACLE_TEST_REFERENCE,0.8235800622701055,0.1764199377298945,4,8,False
