target_id,prompt_id,layer_band,layer,kv,local_group,global_group_index,z,subset_median_z,selection_rule,fp32_bit,binary32_bit,ha_fbms_bit
0,0,EARLY,0,K,152,152,-0.6884138493340967,-0.6884138493340967,NEAREST_TO_SUBSET_MEDIAN_Z,31,31,18
1,0,MID,21,V,246,23638,-2.5979015564286545,-2.5979015564286545,NEAREST_TO_SUBSET_MEDIAN_Z,31,31,18
2,0,LATE,44,K,69,47941,-0.6678035696588106,-0.6678035696588106,NEAREST_TO_SUBSET_MEDIAN_Z,31,31,18
3,1,EARLY,5,V,46,74254,-4.127874822552158,-4.127874822552158,NEAREST_TO_SUBSET_MEDIAN_Z,31,31,18
4,1,MID,21,K,114,87218,-0.7305393250067733,-0.7305393250067733,NEAREST_TO_SUBSET_MEDIAN_Z,31,31,18
5,1,LATE,43,V,221,106045,-0.7739319205201538,-0.7739319205201538,NEAREST_TO_SUBSET_MEDIAN_Z,31,31,18
6,2,EARLY,0,K,65,122945,-0.6988304652794349,-0.6988304652794349,NEAREST_TO_SUBSET_MEDIAN_Z,31,31,18
7,2,MID,22,V,389,141989,-2.698830465279435,-2.698830465279435,NEAREST_TO_SUBSET_MEDIAN_Z,31,31,18
8,2,LATE,44,K,334,159822,-0.6884138493340967,-0.6884138493340967,NEAREST_TO_SUBSET_MEDIAN_Z,31,31,18
9,3,EARLY,3,V,553,180937,-4.134929580086109,-4.134929580086109,NEAREST_TO_SUBSET_MEDIAN_Z,31,31,18
10,3,MID,21,K,345,202009,-0.7305393250067733,-0.7305393250067733,NEAREST_TO_SUBSET_MEDIAN_Z,31,31,18
11,3,LATE,43,V,368,229392,-0.7412657315998317,-0.7412657315998317,NEAREST_TO_SUBSET_MEDIAN_Z,31,31,18
12,4,EARLY,0,K,178,254130,-0.6576078025529222,-0.6576078025529222,NEAREST_TO_SUBSET_MEDIAN_Z,31,31,18
13,4,MID,21,V,8,278728,-2.6076825772212398,-2.6076825772212398,NEAREST_TO_SUBSET_MEDIAN_Z,31,31,18
14,4,LATE,43,K,425,303913,-0.6576078025529222,-0.6576078025529222,NEAREST_TO_SUBSET_MEDIAN_Z,31,31,18
15,5,EARLY,7,V,421,335781,-4.072645301831766,-4.072645301831766,NEAREST_TO_SUBSET_MEDIAN_Z,31,31,18
16,5,MID,21,K,103,349287,-0.7305393250067733,-0.7305393250067733,NEAREST_TO_SUBSET_MEDIAN_Z,31,31,18
17,5,LATE,47,V,97,376417,-0.7305393250067733,-0.7305393250067733,NEAREST_TO_SUBSET_MEDIAN_Z,31,31,18
18,6,EARLY,0,K,200,393416,-0.6988304652794349,-0.6988304652794349,NEAREST_TO_SUBSET_MEDIAN_Z,31,31,18
19,6,MID,21,V,71,413927,-2.5979015564286545,-2.5979015564286545,NEAREST_TO_SUBSET_MEDIAN_Z,31,31,18
20,6,LATE,43,K,469,434965,-0.6780719051126377,-0.6780719051126377,NEAREST_TO_SUBSET_MEDIAN_Z,31,31,18
21,7,EARLY,0,V,370,455442,-4.170730301513955,-4.170730301513955,NEAREST_TO_SUBSET_MEDIAN_Z,31,31,18
22,7,MID,21,K,239,472367,-0.7520724865564145,-0.7520724865564145,NEAREST_TO_SUBSET_MEDIAN_Z,31,31,18
23,7,LATE,45,V,110,492622,-0.8358113681068322,-0.8358113681068322,NEAREST_TO_SUBSET_MEDIAN_Z,31,31,18
