protocol,prompt_id,target_id,layer_band,layer,kv,local_group,global_group_index,encoding,fault_bit,mode,step,position,clean_input_token_id,fault_input_token_id,baseline_token_id,fault_token_id,token_same,kl,max_logit_diff,mean_logit_diff,baseline_logits_finite,fault_logits_finite,post_first_divergence,free_running_kl_path_dependent,manifest_z,amd_reconstructed_z,abs_z_error,raw_scale,clean_scale,fault_scale,scale_amplification,clean_word,fault_word,clean_equal_raw,clean_source,local_write_changed,cache_readback_pass
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,TEACHER_FORCED,1,17,22406,22406,11,11,True,2.163614453820628e-06,0.25,0.028026968240737915,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,TEACHER_FORCED,2,18,11,11,4263,4263,True,0.0021306443959474564,0.40625,0.11813732236623764,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,TEACHER_FORCED,3,19,4263,4263,279,279,True,0.001802721293643117,0.203125,0.0467681959271431,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,TEACHER_FORCED,4,20,279,279,24154,24154,True,0.0014351189602166414,0.203125,0.061243049800395966,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,TEACHER_FORCED,5,21,24154,24154,315,315,True,0.00014235354319680482,0.1875,0.03595644235610962,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,TEACHER_FORCED,6,22,315,315,419,419,True,0.0003901652235072106,0.1875,0.035475630313158035,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,TEACHER_FORCED,7,23,419,419,33004,33004,True,0.0007238020189106464,0.142578125,0.02351466566324234,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,TEACHER_FORCED,8,24,33004,33004,389,389,True,0.0003013299428857863,0.1875,0.02714347653090954,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,TEACHER_FORCED,9,25,389,389,279,279,True,0.0008482657722197473,0.203125,0.05395032837986946,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,TEACHER_FORCED,10,26,279,279,8084,8084,True,0.001027422957122326,0.25,0.027369845658540726,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,TEACHER_FORCED,11,27,8084,8084,1849,1849,True,0.001942087197676301,0.25,0.029297376051545143,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,TEACHER_FORCED,12,28,1849,1849,30538,30538,True,0.0007947168778628111,0.1875,0.05255613103508949,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
