representation_id,Bc,Bf,threads,groups,block,kernel,ms
REP_0008,14,18,1,4194304,1,ID_FULL,139.05605
REP_0008,14,18,1,4194304,1,MAP_LUT8,147.11815000000001
REP_0008,14,18,1,4194304,2,ID_FULL,139.70755
REP_0008,14,18,1,4194304,2,MAP_LUT8,147.83640000000003
REP_0008,14,18,1,4194304,3,ID_FULL,139.96825000000001
REP_0008,14,18,1,4194304,3,MAP_LUT8,147.80860000000001
REP_0008,14,18,1,4194304,4,ID_FULL,139.45775
REP_0008,14,18,1,4194304,4,MAP_LUT8,149.68155000000002
REP_0008,14,18,1,4194304,5,ID_FULL,139.63819999999998
REP_0008,14,18,1,4194304,5,MAP_LUT8,146.92335
REP_0008,14,18,1,4194304,6,ID_FULL,139.58015
REP_0008,14,18,1,4194304,6,MAP_LUT8,146.76305000000002
REP_0008,14,18,1,4194304,7,ID_FULL,139.46595000000002
REP_0008,14,18,1,4194304,7,MAP_LUT8,147.90190000000001
REP_0008,14,18,1,4194304,8,ID_FULL,139.20589999999999
REP_0008,14,18,1,4194304,8,MAP_LUT8,147.73590000000002
REP_0008,14,18,1,4194304,9,ID_FULL,139.72585000000001
REP_0008,14,18,1,4194304,9,MAP_LUT8,148.34174999999999
REP_0008,14,18,1,4194304,10,ID_FULL,139.12860000000001
REP_0008,14,18,1,4194304,10,MAP_LUT8,147.34135000000001
REP_0008,14,18,1,4194304,11,ID_FULL,140.61075
REP_0008,14,18,1,4194304,11,MAP_LUT8,148.49605
REP_0008,14,18,1,4194304,12,ID_FULL,140.6609
REP_0008,14,18,1,4194304,12,MAP_LUT8,147.1429
REP_0008,14,18,1,4194304,13,ID_FULL,139.6147
REP_0008,14,18,1,4194304,13,MAP_LUT8,147.74180000000001
REP_0008,14,18,1,4194304,14,ID_FULL,139.39279999999999
REP_0008,14,18,1,4194304,14,MAP_LUT8,147.94835
REP_0008,14,18,1,4194304,15,ID_FULL,139.41784999999999
REP_0008,14,18,1,4194304,15,MAP_LUT8,146.83335
