representation_id,threads,groups,paired_blocks,identity_median_ms,lut8_median_ms,lut8_mapping_over_identity_median_percent,lut8_mapping_ci95_low,lut8_mapping_ci95_high,bootstrap_n,bootstrap_seed
REP_0008,1,4194304,15,59.663666500000005,63.2717295,6.712926515947659,5.946103713658801,8.08666132785123,10000,20260902
REP_0008,4,4194304,15,17.4095205,17.961292,3.059828352526095,1.8234933817161014,4.394790406692062,10000,20260903
REP_0008,8,4194304,15,14.5789165,15.0400625,4.097586513715368,1.4981455266794175,5.496729404378331,10000,20260904
REP_0025,1,4194304,15,59.9148335,63.661103999999995,6.158954274223616,5.819710657956612,6.4675781697541845,10000,20260905
REP_0025,4,4194304,15,17.468146,17.975792,2.316674743642322,2.011828892115153,3.915338713833516,10000,20260906
REP_0025,8,4194304,15,14.6967505,15.2557705,3.911281548019696,2.345902537056599,5.306699535766435,10000,20260907
REP_0026,1,4194304,15,59.916833499999996,63.8807915,6.573343782454866,5.112190216126833,7.054188759278901,10000,20260908
REP_0026,4,4194304,15,17.4745835,17.9097705,3.2403004054431417,2.0471540326839177,3.7368935711583617,10000,20260909
REP_0026,8,4194304,15,14.781479000000001,15.35925,3.88074860716221,2.9822331326421203,5.962241121147005,10000,20260910
REP_0027,1,4194304,15,60.200916500000005,64.058021,6.632574872178343,6.127027580587874,7.434818082545935,10000,20260911
REP_0027,4,4194304,15,17.294874999999998,17.968271,4.404210945583831,2.582049539928688,5.069505524154527,10000,20260912
REP_0027,8,4194304,15,14.587417,15.139771,4.440652904631404,2.7846465210393356,5.882137988281033,10000,20260913
