metric_id,category,model,platform,encoding,experiment,metric,value,unit,sample_count,event_count,CI_low,CI_high,source_evidence_id,source_file,source_field,paper_section,table_figure_target,safe_interpretation,limitations
M1-ROWS,DDR,DDR corpus,CPU,n/a,M1,strict_word_fault_rows,1067712,rows,1067712,1384512,,,E-M1,M5.5M1_FINAL_STATUS.txt,TOTAL_ROWS,4.2,Table 2,Corpus scale,Empirical corpus; not BER
M1-FLIPS,DDR,DDR corpus,CPU,n/a,M1,flip_positions,71858832,positions,1067712,71858832,,,E-M1,M5.5M1_FINAL_STATUS.txt,TOTAL_FLIP_POSITIONS,4.2,Table 2,Observed fault-position count,No absolute fault probability
M2-H3,DDR,DDR maps,CPU,n/a,M2,H_le_3_coverage_mean,0.7355736886,fraction,32,,,,E-M2,authoritative M2 summary,H<=3 coverage mean,4.2,Table 2/Fig 2,Mean across 32 unpooled scenarios,Scenario-specific corpus
N1-EVAL,DDR,true codec,CPU,HA-FBMS,N1,true_codec_evaluations,713900,evaluations,35695,713900,,,E-N1,M5.5N1_FINAL_STATUS.txt,TOTAL_TRUE_EVALUATIONS,4.1,Supplement,Sampled theorem/surrogate validation,Not exhaustive over all values
N2-LAMBDA,DDR,risk engine,CPU,HA-FBMS,N2,exposure_rate_lambda,0.06568547037,fraction,699,352657,,,E-N2,frozen N2 summary,lambda,4.2,Table 2,Integrated exposure rate in audited model,Not hardware BER
N2-RISK,DDR,risk engine,CPU,HA-FBMS,N2,absolute_total_hybrid_risk,0.04374840531,model units,699,352657,,,E-N2,frozen N2 summary,absolute_total_hybrid,4.2,Table 2,Integrated modeled risk quantity,Do not call absolute hardware fault probability
N3-SPECS,Method,representation synthesis,CPU,HA-FBMS,N3,candidate_specs,324,specs,324,,,,E-N3,m55n3b0_summary.json,spec_count,4.1,Table 1,Evaluated candidate specifications,Search space not globally optimized
N3-UNIQUE,Method,representation synthesis,CPU,HA-FBMS,N3,unique_representations,44,representations,44,,,,E-N3,m55n3b0_summary.json,unique_count,4.1,Table 1,Frozen representation set,"P3/P4/P7 instances are same family, not exact N3 reps"
N3-DEEP,Mapping,deep confirmation,CPU,HA-FBMS,N3B1C,deep_confirmed_representations,8,representations,8,,,,E-N3,M5.5N3B1C_FINAL_STATUS.txt,CONFIRMED,4.1,Table 1,Pairwise-swap local-search multistart confirmation,No global-optimum claim
M3D-CV,HBM2,HBM2 corpus,CPU,n/a,M3D,union_position_cv,0.8834596847,coefficient,6,892901974,,,E-M3D,M3D authoritative aggregate,union_cv,4.3,Table 2/Fig 2,Strong logical-position heterogeneity in corpus,Not physical lane placement or BER
