execution_platform,execution_gpu,backend,os,workload_groups,values,representation,bc,bf,representation_source_platform,fp32_median_ms,identity_median_ms,mapped_median_ms,mapped_vs_fp32_median_percent,ci95_low_percent,ci95_high_percent,ci_crosses_zero,raw_block_count,status,scope
RTX5080_WINDOWS,NVIDIA GeForce RTX 5080,NVIDIA_CUDA,Windows; version not verified,4194304,134217728,rep_0008,14,18,H800_CUDA,0.8712176132202148,0.8747902297973633,0.8608607864379882,-1.0226274220137777,-2.186483012654916,1.7472397737941403,true,15,FROZEN_PASS,kernel microbenchmark; negative differences are not interpreted as acceleration
RTX5080_WINDOWS,NVIDIA GeForce RTX 5080,NVIDIA_CUDA,Windows; version not verified,4194304,134217728,rep_0025,19,13,AMD_ROCm,0.8596965026855469,0.8498118591308594,0.8554297637939453,-0.22402564515658918,-1.063779938861642,0.5123306137007733,true,15,FROZEN_PASS,kernel microbenchmark; negative differences are not interpreted as acceleration
RTX5080_WINDOWS,NVIDIA GeForce RTX 5080,NVIDIA_CUDA,Windows; version not verified,4194304,134217728,rep_0026,22,10,AMD_ROCm,0.8659145736694336,0.8589519882202148,0.8635001373291016,-0.17161444910840373,-0.6610341906808204,0.9624371815725175,true,15,FROZEN_PASS,kernel microbenchmark; negative differences are not interpreted as acceleration
RTX5080_WINDOWS,NVIDIA GeForce RTX 5080,NVIDIA_CUDA,Windows; version not verified,4194304,134217728,rep_0027,26,6,AMD_ROCm,0.849358901977539,0.8470029067993164,0.8497536087036133,-0.013033242662352507,-0.7243110554233989,0.29982630615288386,true,15,FROZEN_PASS,kernel microbenchmark; negative differences are not interpreted as acceleration
RTX5080_LINUX_H800_LIKE,NVIDIA GeForce RTX 5080,NVIDIA_CUDA,Ubuntu 22.04.5; Linux 5.15.0-78-generic (author record),4194304,134217728,rep_0008,14,18,H800_CUDA,0.8401953506469726,0.8407777404785156,0.8407577514648437,0.07246856419547143,0.020975323967986625,0.128994556797557,false,15,FROZEN_PASS,kernel microbenchmark; negative differences are not interpreted as acceleration
RTX5080_LINUX_H800_LIKE,NVIDIA GeForce RTX 5080,NVIDIA_CUDA,Ubuntu 22.04.5; Linux 5.15.0-78-generic (author record),4194304,134217728,rep_0025,19,13,AMD_ROCm,0.8401209640502929,0.8404275131225586,0.8417363357543945,0.16855494236021062,0.1495843670764163,0.23973676518860287,false,15,FROZEN_PASS,kernel microbenchmark; negative differences are not interpreted as acceleration
RTX5080_LINUX_H800_LIKE,NVIDIA GeForce RTX 5080,NVIDIA_CUDA,Ubuntu 22.04.5; Linux 5.15.0-78-generic (author record),4194304,134217728,rep_0026,22,10,AMD_ROCm,0.8408599853515625,0.8410343933105469,0.8400737762451171,-0.08911400180269258,-0.10503686698790649,-0.06679467883727863,false,15,FROZEN_PASS,kernel microbenchmark; negative differences are not interpreted as acceleration
RTX5080_LINUX_H800_LIKE,NVIDIA GeForce RTX 5080,NVIDIA_CUDA,Ubuntu 22.04.5; Linux 5.15.0-78-generic (author record),4194304,134217728,rep_0027,26,6,AMD_ROCm,0.8403364562988281,0.8405665588378906,0.8402573013305664,-0.013039226733901899,-0.01684932738638123,0.01045080040553703,true,15,FROZEN_PASS,kernel microbenchmark; negative differences are not interpreted as acceleration
RTX4060TI_WINDOWS,NVIDIA GeForce RTX 4060 Ti,NVIDIA_CUDA,Windows; version not verified,4194304,134217728,rep_0008,14,18,H800_CUDA,2.4216462707519533,2.4163195800781248,2.4182056427001957,0.005121405409647117,-0.3782595015195511,0.42912113607589397,true,15,FROZEN_PASS,kernel microbenchmark; negative differences are not interpreted as acceleration
RTX4060TI_WINDOWS,NVIDIA GeForce RTX 4060 Ti,NVIDIA_CUDA,Windows; version not verified,4194304,134217728,rep_0025,19,13,AMD_ROCm,2.4170377349853513,2.4171743774414063,2.4174899291992187,-0.01925678060019642,-0.3069289747184123,0.48595060064542395,true,15,FROZEN_PASS,kernel microbenchmark; negative differences are not interpreted as acceleration
